Place ID,Name,Latitude,Longitude,Category,Rating,Number of Reviews,Business Status,Google Maps URL
N/A,O Burger,26.238694600000002,50.1984013,restaurant,3.9,24,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,كافتيريا ساندوتش غير - Different Sandwiches,26.246015399999997,50.2001056,restaurant,3.6,152,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,بوفية سعد,26.2562335,50.1939566,restaurant,3.7,36,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,فوال و مخبز نور الصباح,26.249463799999997,50.1997563,restaurant,4.5,11,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,بوفية مبروك,26.255105,50.201769299999995,restaurant,3.9,16,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,بوفية زهور الخبر,26.2600639,50.19768690000001,restaurant,3.8,82,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Blue Garden Restaurant Khobar,26.2551003,50.221004,restaurant,4.1,11005,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Bait AlRobyan,26.2509153,50.2151533,restaurant,4.5,2146,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Chef Eyad Khobar,26.255573199999997,50.2210499,restaurant,4.6,3674,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Madhghoot Tehamah(MT),26.2498583,50.1987685,restaurant,4.2,1172,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ceasario,26.255441599999997,50.220722599999995,restaurant,4,875,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطعم لارتيستوLartisto,26.250819,50.2152641,restaurant,4.6,315,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطعم المضغوط الناضج,26.2500382,50.2016596,restaurant,4,652,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطاعم البراري البخاري,26.2500547,50.2015969,restaurant,4,259,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Herfy,26.257799400000003,50.2037926,restaurant,3.6,621,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,نكهة أماسينا للولائم والحفلات الخارجية,26.2601191,50.2041041,restaurant,4.2,286,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Modon Alam Pakistani Restaurant,26.2398736,50.199346899999995,restaurant,4.3,97,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Reem AlKhobar Sweets,26.2507019,50.211849199999996,restaurant,4.3,279,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,SHAWARMA & FALAFEL MUHALHIL,26.2568406,50.2037006,restaurant,3.5,273,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Tim Hortons,26.240678799999998,50.21445250000001,restaurant,4,239,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Barn's | بارنز,26.2502376,50.202686899999996,restaurant,3.9,19,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Voile Nour Al-Sabah,26.257583500000003,50.2037409,restaurant,3.5,106,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Silver Tower Restaurant,26.2493309,50.1996867,restaurant,3.9,215,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطعم الشام القديمة,26.2493295,50.1986567,restaurant,4.1,96,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطعم وبروستد الشام الاسكان,26.2495795,50.2007978,restaurant,3.8,172,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Buffet AlSaada,26.250128,50.201623999999995,restaurant,3.8,127,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Oriya,26.2558523,50.2210788,restaurant,4,3711,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Blue Garden Restaurant Khobar,26.2551003,50.221004,restaurant,4.1,11005,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Bait AlRobyan,26.2509153,50.2151533,restaurant,4.5,2146,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Chef Eyad Khobar,26.255573199999997,50.2210499,restaurant,4.6,3674,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ceasario,26.255441599999997,50.220722599999995,restaurant,4,875,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطعم لارتيستوLartisto,26.250819,50.2152641,restaurant,4.6,315,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Reem AlKhobar Sweets,26.2507019,50.211849199999996,restaurant,4.3,279,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Tim Hortons,26.240678799999998,50.21445250000001,restaurant,4,239,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Ocean,26.2557565,50.221144599999995,restaurant,3.5,1864,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Tasty Burger البرقر اللذيذ,26.2506786,50.212265699999996,restaurant,4.4,52,OPERATIONAL,https://maps.google.com/?cid=N/A
