ID,Name,Latitude,Longitude,Category,Rating,Number of Reviews,Business Status
76,DESSANGE PARIS,26.2913016,50.10469,cafe,4.7,22,OPERATIONAL
77,قهوة عرب,26.285332800000003,50.1323483,cafe,2.3,3,OPERATIONAL
78,Blue stars,26.2842924,50.1505135,cafe,2.7,13,OPERATIONAL
79,Dose Cafe,26.2836875,50.1504375,cafe,3,1,OPERATIONAL
80,Al Rashid Mall,26.2908311,50.1805653,cafe,4.3,50912,OPERATIONAL
81,Dunkin' - دانكن,26.2942647,50.1709881,cafe,4,279,OPERATIONAL
82,Sip Day speciality coffeee,26.2785936,50.1830973,cafe,4.7,448,OPERATIONAL
83,Dunkin' - دانكن,26.29086,50.181264,cafe,4,506,OPERATIONAL
84,Black Horse Cafe,26.291454,50.1823149,cafe,4.5,260,OPERATIONAL
85,Barn's | بارنز,26.2935069,50.1720541,cafe,4.1,55,OPERATIONAL
86,7 Grams - Alrashid Mall | ٧ جرام - الراشد مول,26.2912431,50.1807662,cafe,4.4,679,OPERATIONAL
87,Rosalie Cafe,26.2905188,50.1777323,cafe,4.5,448,OPERATIONAL
88,GLĀDIO CAFÉ,26.2913235,50.1803377,cafe,4.6,129,OPERATIONAL
89,Cinnabon,26.286915,50.18391,cafe,3.3,113,OPERATIONAL
90,Konafa golden crown,26.280672,50.1823043,cafe,4.1,266,OPERATIONAL
91,مقهى ديوانية هجر,26.2839412,50.1815338,cafe,3.8,261,OPERATIONAL
92,Starbucks,26.2913075,50.1809882,cafe,4,523,OPERATIONAL
93,Costa Coffee,26.289806,50.181026,cafe,4.6,366,OPERATIONAL
94,Equal,26.2906576,50.1769855,cafe,4.7,20,OPERATIONAL
95,ماما بنز كافيه | MammaBunz Cafe‏,26.2865001,50.1839,cafe,4.1,207,OPERATIONAL
96,Krispy Kreme,26.2913662,50.1805928,cafe,4.3,70,OPERATIONAL
97,Madina Restaurant,26.2880423,50.1883326,cafe,3.9,9057,OPERATIONAL
98,مقهي ومحمصه الواحه - Oasis Cafe Roastery,26.2820048,50.2019347,cafe,4.5,1589,OPERATIONAL
99,Starbucks,26.2903957,50.1873237,cafe,4,188,OPERATIONAL
100,Tea Muhabath Resto cafe,26.293282200000004,50.1946282,cafe,4.5,163,OPERATIONAL
101,Golden Tea,26.2845043,50.1905563,cafe,4,69,OPERATIONAL
102,شاي فرس,26.2944738,50.1971796,cafe,4.6,239,OPERATIONAL
103,ديوانية قدوع للشاي والقهوة,26.2842784,50.189095,cafe,4.1,417,OPERATIONAL
104,استكانه 4,26.2840868,50.2041239,cafe,4.5,145,OPERATIONAL
105,مقهى بساطة coffee Basata,26.2847233,50.1960392,cafe,4.8,169,OPERATIONAL
106,انليش | Unleash,26.2813794,50.2004297,cafe,4.7,167,OPERATIONAL
107,Krispy Kreme,26.2835625,50.1971875,cafe,4.2,242,OPERATIONAL
108,ZOLIEA,26.2979324,50.2099036,cafe,4.5,1629,OPERATIONAL
109,فرن ليلى,26.2930699,50.2185376,cafe,4.6,664,OPERATIONAL
110,Cay,26.2820969,50.222144400000005,cafe,4.3,1257,OPERATIONAL
111,بلما | Blma,26.2894354,50.2180839,cafe,4.6,879,OPERATIONAL
112,SAJE cafe | سيج,26.2919437,50.2085989,cafe,4.5,464,OPERATIONAL
113,مقهى طرف,26.2927808,50.2187689,cafe,4.5,360,OPERATIONAL
114,SOIR CAFÉ,26.2821187,50.2220207,cafe,4,1208,OPERATIONAL
115,ديلي كب Daily cup,26.2941272,50.2170997,cafe,4.6,128,OPERATIONAL
116,Tea Time,26.2825825,50.2177414,cafe,4.2,3094,OPERATIONAL
117,Qaf Coffee Roasters -Ajdan : محمصة ومقهى قاف - اجدان,26.2829739,50.2204568,cafe,4.4,922,OPERATIONAL
118,Slope Roastery,26.2907142,50.2161203,cafe,4.8,246,OPERATIONAL
119,Dunkin' - دانكن,26.2784375,50.2180625,cafe,4.1,1924,OPERATIONAL
120,MOUND,26.2920621,50.2083507,cafe,4.1,334,OPERATIONAL
121,Mawoud,26.2883756,50.2179001,cafe,4.6,625,OPERATIONAL
122,Lounge shesha shisha hookah hooka مقهى لاونج غصن الرمان لاونج شيشة شيشه كافيهGhosen اقرب مكان شيشة افضل مكان شيشة,26.2952827,50.201301,cafe,4.5,260,OPERATIONAL
123,Starbucks,26.2882713,50.2161335,cafe,4.5,507,OPERATIONAL
124,Mantorose Cafe,26.2816481,50.222423,cafe,4,408,OPERATIONAL
125,Oasis cafe & Club,26.2892972,50.216491100000006,cafe,3.8,722,OPERATIONAL
126,Hiqbah Roasters - محمصة و مقهى حقبة,26.281725,50.2130017,cafe,4.9,262,OPERATIONAL
127,Half Million,26.295083,50.220759,cafe,4.4,4780,OPERATIONAL
128,SULTAN LOUNGE & CAFE,26.2940795,50.2203355,cafe,4,1221,OPERATIONAL
129,Line Espresso Bar & Roastery,26.2958954,50.2190825,cafe,4.5,1029,OPERATIONAL
130,مطل مقابل اجدان رايز,26.2820555,50.2219944,cafe,4.8,61,OPERATIONAL
131,Gladio Cafe - جلاديو كافيه,26.2959257,50.219089,cafe,4.9,498,OPERATIONAL
132,Tamimi Cafeteria,26.3066005,50.1118087,cafe,4.1,18,OPERATIONAL
133,Chapati&Karak - KSA Aramco,26.2983635,50.1077906,cafe,3.7,26,OPERATIONAL
134,Dose Cafe,26.3050033,50.1133814,cafe,4,4,OPERATIONAL
135,Olabs,26.3075072,50.1115461,cafe,5,3,OPERATIONAL
136,Starbucks,26.3052517,50.1293103,cafe,4.4,717,OPERATIONAL
137,Shrq Coffee Roaster (King’s Park),26.3049304,50.1302831,cafe,4.4,201,OPERATIONAL
138,Dunkin - دانكن,26.30914,50.128802,cafe,4.3,184,OPERATIONAL
139,Joffrey's جوفريز,26.3139393,50.1215358,cafe,4,4,OPERATIONAL
140,Shrq Coffee Roasters (Al Mujamma),26.3091534,50.1300481,cafe,4.7,28,OPERATIONAL
141,Carlton Lounge,26.3041566,50.1301727,cafe,4,63,OPERATIONAL
142,مغزل | MIGHZEL أرامكو,26.307555900000004,50.1278204,cafe,4.9,7,OPERATIONAL
143,مراميه,26.312155,50.125901,cafe,5,3,OPERATIONAL
144,VARDØ ڤاردو,26.3125461,50.1281986,cafe,4,2,OPERATIONAL
145,Caffe Vergnano 1882 (KIOSK),26.308616,50.1251857,cafe,No rating,No reviews,OPERATIONAL
146,Tim Hortons,26.309983300000003,50.1366531,cafe,4.4,125,OPERATIONAL
147,Cinnabon,26.313328,50.137454,cafe,3.2,22,OPERATIONAL
148,Krispy Kreme,26.3006211,50.1478169,cafe,3.9,33,OPERATIONAL
149,KFUPM Boulevard,26.3109391,50.1448128,cafe,4.5,81,OPERATIONAL
150,Starbucks,26.3110296,50.1326698,cafe,3.9,12,OPERATIONAL
151,Qaf Coffee Roasters JHAH - محمصة قاف جونزهوبكنز,26.3100099,50.1366629,cafe,4.2,22,OPERATIONAL
152,Second Cup سكند كب,26.30019,50.148126700000006,cafe,4.4,27,OPERATIONAL
153,كافتيريا 59,26.3081729,50.144954,cafe,4.7,3,OPERATIONAL
154,Joffrey's جوفريز,26.3132072,50.1285072,cafe,No rating,No reviews,OPERATIONAL
155,Faculty Lounge,26.3066893,50.1445797,cafe,3.8,4,OPERATIONAL
156,Scratch,26.3107239,50.1413789,cafe,5,2,OPERATIONAL
157,ABYAT,26.3094677,50.1660794,cafe,4,7688,OPERATIONAL
158,8Oz Coffee,26.303744400000003,50.1689469,cafe,4.1,275,OPERATIONAL
159,Dunkin' - دانكن,26.313818,50.147613,cafe,3.7,224,OPERATIONAL
160,The Crêpe Café,26.305668,50.167887,cafe,3.9,719,OPERATIONAL
161,مولتن كيك,26.3055082,50.16813930000001,cafe,3.6,22,OPERATIONAL
162,Mikyal Coffee,26.314297,50.147379,cafe,4.4,55,OPERATIONAL
163,Scratch,26.3012039,50.159476100000006,cafe,4.9,8,OPERATIONAL
164,L'douh Bakery Cafe,26.3034304,50.1686582,cafe,3.6,24,OPERATIONAL
165,Circle K - Dhahran Mall Saco,26.304726,50.1667436,cafe,No rating,No reviews,OPERATIONAL
166,Morelli's Gelato KSA,26.3069575,50.16837,cafe,3.3,4,OPERATIONAL
167,Hazal,26.3142048,50.1472104,cafe,No rating,No reviews,OPERATIONAL
168,Joe & The Juice,26.304957800000004,50.1800548,cafe,4.2,1144,OPERATIONAL
169,THE BLOOM,26.307556500000004,50.1812305,cafe,4.2,660,OPERATIONAL
170,Qaf Coffee Roasters محمصة ومقهى قاف,26.302489100000003,50.1775768,cafe,4.4,6735,OPERATIONAL
171,HAZEL COFFEE | هزل كوفي,26.3031275,50.1780158,cafe,4.7,870,OPERATIONAL
172,مقهى ومحمصة شرق (العليا) Shrq Coffee Roasters (Olaya),26.2988582,50.1791484,cafe,4.6,831,OPERATIONAL
173,NORMA نورما,26.2988117,50.179172,cafe,4.5,612,OPERATIONAL
174,لاما الخبر - LLAMA Khobar,26.3033687,50.1811298,cafe,4.5,473,OPERATIONAL
175,Seven Seeds‎,26.2986431,50.1781151,cafe,4.7,1176,OPERATIONAL
176,A PLUS,26.2995741,50.1739508,cafe,4.3,1487,OPERATIONAL
177,MOUND,26.3054906,50.1783317,cafe,4.3,1132,OPERATIONAL
178,مقهى ومحمصة سمبلسيتي | Simplicity cafe & roastery,26.2992241,50.1783635,cafe,4.5,356,OPERATIONAL
179,7 Grams - City Walk | ٧ جرام - سيتي ووك,26.3058354,50.182956700000005,cafe,4.5,1416,OPERATIONAL
180,EliNA HOTEL,26.303479,50.1748787,cafe,3.9,180,OPERATIONAL
181,Drink’s Aroma,26.3125852,50.1772789,cafe,4.8,462,OPERATIONAL
182,Effect Coffee,26.2975272,50.1784906,cafe,4.8,587,OPERATIONAL
