Place ID,Name,Latitude,Longitude,Category,Rating,Number of Reviews,Business Status,Google Maps URL
N/A,Dose دوز,26.2656936,50.071096999999995,cafe,4.8,13,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,فسحه,26.2658542,50.0704925,cafe,4.6,26,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Dunkin' - دانكن,26.2793125,50.132312500000005,cafe,4,513,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Dunkin' - دانكن,26.271373999999998,50.195328,cafe,4.1,1346,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ديلي كب Daily cup,26.277147,50.183707399999996,cafe,4.5,102,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Barn's | بارنز,26.2661719,50.203895499999994,cafe,4.2,528,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Golden Tea كرك الذهبي,26.2761413,50.1923933,cafe,4.2,30,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Konafa golden crown,26.271102199999998,50.1956991,cafe,4.1,272,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Mantorose Cafe,26.2562009,50.1937879,cafe,4.3,93,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,قهوة توتيل,26.280154699999997,50.1906717,cafe,4.6,41,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,يمي كريب,26.2736271,50.1869705,cafe,4.1,189,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,برنس الشرق مستلزمات الكوفي شوب EAST PRINCE TRADING EASTERN REGION BRANCH,26.2761402,50.193712999999995,cafe,4.5,24,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مقهى ليالي امدر,26.278408499999998,50.183892,cafe,4.2,41,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Al Qurashi Parties,26.2755416,50.1853504,cafe,4.6,32,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مقهى قعدة شاي الفرع الاول,26.2662868,50.1883883,cafe,4.4,45,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,دونات لاند DONUT LAND,26.275999799999997,50.1842413,cafe,4.6,40,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,قعدة شاي,26.2696033,50.1870342,cafe,4.2,17,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Al Zawiya Al Shobeya Coffee Shop,26.2781563,50.184041,cafe,4,33,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,قهوة سكاي بلو,26.2581899,50.201149199999996,cafe,4.2,24,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مقهئ التراث الشعبي,26.273663799999998,50.186919499999995,cafe,4.4,83,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,فرع دونات الممتاز,26.2737728,50.1927926,cafe,3.4,14,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,شاهي شعف |Shaaf Tea,26.278327599999997,50.183214199999995,cafe,4.9,13,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,عصير العميد,26.2778825,50.193122599999995,cafe,4.4,33,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Sun Room Cafe & Restaurant,26.272147699999998,50.2211776,cafe,3.7,4253,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Dunkin' - دانكن,26.271373999999998,50.195328,cafe,4.1,1346,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,المذاق المغربي,26.273318999999997,50.2199697,cafe,4.3,204,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Barn's | بارنز,26.2661719,50.203895499999994,cafe,4.2,528,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Starbucks,26.268666999999997,50.216055999999995,cafe,4.3,1353,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,شذرات كافيه,26.2750395,50.2191444,cafe,4.4,615,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Diwaniya Mishraq,26.2655577,50.2104625,cafe,4.1,427,OPERATIONAL,https://maps.google.com/?cid=N/A
