Place ID,Associated Name,Rating,User Rating Count,Business Name,Business Types,Business Address,Business Status,Business Rating,Business User Ratings,Latitude,Longitude,Distance (m)
ChIJo8le9J77ST4R8QJl8orKMOE,"{'text': 'Kudu - King Saud St', 'languageCode': 'en'}",3.9,1618,"{'text': 'Kudu - King Saud St', 'languageCode': 'en'}","restaurant, hamburger_restaurant, dessert_restaurant, sandwich_shop, meal_delivery, food_delivery, fast_food_restaurant, meal_takeaway, breakfast_restaurant, american_restaurant, food, point_of_interest, establishment","8528 Prince Mohammed Bin Fahd Road, Ar Rabi, Dammam 32241, Saudi Arabia",restaurant,3.9,1618,26.4420175,50.1177564,0.0
ChIJo8le9J77ST4R8QJl8orKMOE,"{'text': 'Kudu - King Saud St', 'languageCode': 'en'}",3.9,1618,"{'text': 'Boromana Restaurant', 'languageCode': 'en'}","restaurant, food, point_of_interest, establishment","طريق الأمير محمد بن فهد، البديع، Al Badi, Dammam 32415, Saudi Arabia",restaurant,3.6,1752,26.4420175,50.1177564,601.07
ChIJo8le9J77ST4R8QJl8orKMOE,"{'text': 'Kudu - King Saud St', 'languageCode': 'en'}",3.9,1618,"{'text': 'Shawrama Hlayel', 'languageCode': 'en'}","restaurant, food, point_of_interest, establishment","Prince Mohammed Bin Fahd Road, Al Badi،، Dammam 32415, Saudi Arabia",restaurant,4,2821,26.4420175,50.1177564,612.43
ChIJo8le9J77ST4R8QJl8orKMOE,"{'text': 'Kudu - King Saud St', 'languageCode': 'en'}",3.9,1618,"{'text': ""Dunkin' - دانكن"", 'languageCode': 'en'}","coffee_shop, cafe, food_store, store, food, point_of_interest, establishment","Prince Mohammed Bin Fahd Rd, Muhammed Ibn Saud, Dammam 32241, Saudi Arabia",coffee_shop,4,845,26.4420175,50.1177564,808.4
ChIJo8le9J77ST4R8QJl8orKMOE,"{'text': 'Kudu - King Saud St', 'languageCode': 'en'}",3.9,1618,"{'text': 'مطاعم الدمام البخاري الممتاز', 'languageCode': 'en'}","restaurant, food, point_of_interest, establishment","C4RG+32C حي, King Saud St, Al Mazruiyah, Dammam 32414, Saudi Arabia",restaurant,4.1,766,26.4420175,50.1177564,751.08
ChIJo8le9J77ST4R8QJl8orKMOE,"{'text': 'Kudu - King Saud St', 'languageCode': 'en'}",3.9,1618,"{'text': 'Cake & Tart كيك وتارت', 'languageCode': 'en'}","cafe, donut_shop, dessert_shop, bakery, confectionery, food_store, store, food, point_of_interest, establishment","King Saud St, Al Mazruiyah, Dammam 32414, Saudi Arabia",cafe,4.7,503,26.4420175,50.1177564,249.14
ChIJdTPtO0HvST4RMxDCV0Hixls,"{'text': 'Kudu - Al Rakah Al Shamaliyah', 'languageCode': 'en'}",3.9,1682,"{'text': 'Baba Khabbaz | بابا خباز', 'languageCode': 'en'}","bakery, candy_store, confectionery, food_store, store, point_of_interest, food, establishment","حي, 7528 طريق الملك فيصل، الراكة الجنوبية، الخبر 34226 4801،، Al Rakah Al Janubiyah, Al Khobar 34226, Saudi Arabia",bakery,4.4,2319,26.3642251,50.2002842,668.66
ChIJdTPtO0HvST4RMxDCV0Hixls,"{'text': 'Kudu - Al Rakah Al Shamaliyah', 'languageCode': 'en'}",3.9,1682,"{'text': 'ALBAIK', 'languageCode': 'en'}","fast_food_restaurant, restaurant, point_of_interest, food, establishment","حي, Al Rakah Al Janubiyah, Al Khobar 34226, Saudi Arabia",fast_food_restaurant,3.1,663,26.3642251,50.2002842,410.54
ChIJdTPtO0HvST4RMxDCV0Hixls,"{'text': 'Kudu - Al Rakah Al Shamaliyah', 'languageCode': 'en'}",3.9,1682,"{'text': 'مقهى ومحمصة أور | OUR COFFEE ROASTERS', 'languageCode': 'ar'}","coffee_shop, cafe, food_store, store, point_of_interest, food, establishment","حي، Abdullmalik Bin Marwan, Al Rakah Al Janubiyah, Al Khobar 34226, Saudi Arabia",coffee_shop,4.7,441,26.3642251,50.2002842,507.54
ChIJdTPtO0HvST4RMxDCV0Hixls,"{'text': 'Kudu - Al Rakah Al Shamaliyah', 'languageCode': 'en'}",3.9,1682,"{'text': 'مطعم المضياف (الراكة)', 'languageCode': 'en'}","restaurant, point_of_interest, food, establishment","Khaled Ibn Al Walid St, Al Rakah Ash Shamaliyah, Dammam 34225, Saudi Arabia",restaurant,4.3,2452,26.3642251,50.2002842,725.16
