Business ID,Name,Latitude,Longitude,Category,Rating,Popularity,Google Place ID,Business Status,Distance (m)
61afa97a5177b432c598b578,SECCO BY COFFÉA (سِكُّو),26.325081,50.206751,Pizzeria,8.5,0.9412206760937364,ChIJuR3Pad3pST4RHFDjGG9qp70,OPERATIONAL,10.527307724437877
57ded9c6498eec0d33124ee5,Seven (سڤن),26.326303,50.212711,American Restaurant,9.1,0.981212660162072,ChIJ-3RfE-_oST4RSjQxrk2kX7M,OPERATIONAL,15.203989853970853
6388d13906630719ab0e5aa1,THNDR (ثندر),26.319494,50.207294,Burger Joint,7.9,0.995303165040518,ChIJu1MrKe3pST4R46et82AtJto,OPERATIONAL,14.723194441291923
5264012511d2caed0b5578aa,Maharaja by Vineet,26.322251,50.216843,Indian Restaurant,8.8,0.9759772547939028,ChIJpwT8_froST4Rn2tK40uSsIM,OPERATIONAL,3.6212177555031424
5ab8bf0e8b98fd2a13b16aed,McDonald's (ماكدونالدز),26.329069,50.213639,Burger Joint,9.0,0.998772560463922,,NOT FOUND,6247.645892640315
5dd2c756eb2f3e0008c4158a,Takara (تاكارا),26.321301,50.220279,Japanese Restaurant,9.1,0.9938878521060608,ChIJw6T38FbpST4RL3ndUNgAA5U,OPERATIONAL,22.80015868815372
5c29232ef05ca8002d9a4af4,Shrimp Anatomy (شرمب اناتومي),26.321716,50.220701,Seafood Restaurant,8.6,0.986523214889593,ChIJe_EBMgDpST4RB_L-DB5XN4Q,OPERATIONAL,27.30215980345199
5e3e6618448f0b000764a356,مطعم باب بو خوخة,26.314211,50.209686,Restaurant,7.9,0.9465312308212572,ChIJw9UE9Z3pST4RqZ7hjC0uKDo,OPERATIONAL,24.082419597015466
569bd39938fa14282bca1398,The Butcher Shop & Grill (ذا بوتشر شوب & جريل),26.319597,50.221847,Import and Export Service,8.7,0.9818263799301112,ChIJn7_0WP7oST4R6AlV234Sd20,OPERATIONAL,8.270576992670028
5c7b9e48b9a5a8002ca1d011,Pound of Prawns (باوند اوف براونز),26.321255,50.220232,Seafood Restaurant,8.4,0.9292594030635888,ChIJqXZo_tDpST4RU6I8CpBm38Q,CLOSED_PERMANENTLY,10.587997546793165
626803e5c58d7d64005504a3,The Town (ذا تاون),26.320413,50.222382,Burger Joint,8.6,0.983492190729074,ChIJ5Vj3sF_pST4R7rhFxl8RzqQ,OPERATIONAL,31.03685427344181
5e4bdf027169e500087bbf47,Naya Daur (نايا داور),26.319797,50.221972,Indian Restaurant,8.6,0.937125036009068,ChIJa1zZlSTpST4RQOWYPs7VZXU,OPERATIONAL,25.931297343067516
59a186811c0b3419a58135cd,الرواق الشعبي,26.314534,50.210014,Middle Eastern Restaurant,7.8,0.9679237484500444,ChIJ3w31YPboST4RvSrgJlp4BCc,OPERATIONAL,59.15730190280856
5420289c498eaf47155dfe8c,The View Club Lounge,26.322273,50.216897,Café,7.9,0.956438421362458,ChIJSzpRAfvoST4R1nyy9vzajS0,OPERATIONAL,19.63494975383539
62499f2c62db55105e8f37fd,Slider Code (سلايدر كود),26.319632,50.222711,Burger Joint,8.4,0.9675354767600606,ChIJpcF2dNTpST4RXdgw9WVZYTw,OPERATIONAL,11.96975089533906
5e35b18b4996140007ac05af,Vicoli (ڤيكولي),26.320058,50.222316,Restaurant,8.2,0.9796094738292356,,NOT FOUND,2084.36291916743
63f5e18b840dc855ebe27291,Fatté w Snobar (فتة وصنوبر),26.319992,50.222427,Lebanese Restaurant,8.2,0.9797347227614884,,NOT FOUND,4528.088647003761
58fe0bf5646e380af692960e,Lucca (لوكا),26.314524,50.21645,Steakhouse,7.8,0.985909495121554,ChIJwxML1lfoST4RcKvnGDQL4aU,OPERATIONAL,7.700194089158589
642639477615031bd67865db,بن عاقول,26.320448,50.222322,Middle Eastern Restaurant,8.0,0.9652434212998334,ChIJpx4XmRHpST4Ro5RrEkroCcw,OPERATIONAL,18.21362005384265
4c0cdf04c700c9b63975a1dd,Krispy Kreme (كرسبي كريم),26.328101,50.213597,Donut Shop,7.6,0.8794353778134042,ChIJXxOrV-_oST4RdSehx1c2ziA,OPERATIONAL,15.885655235499144
63f3915de623aa357468338e,MAISON SOCIALE (ميسُّن سوسيال),26.319986,50.216334,Restaurant,7.5,0.425558297115517,ChIJJw73oazpST4RB7BrLdd_e6k,CLOSED_TEMPORARILY,9.029811719495715
607b3034a8476a03b3bac863,Zankil (زنكيل),26.31801,50.222732,Lebanese Restaurant,7.8,0.968913215014842,ChIJAxokAIbpST4RdDoDpRw-lUA,OPERATIONAL,22.228592805308228
63daad235ebc7747f7517e6e,CHEF BELAL & TEGAN (الشيف بلال وتيقن),26.319855,50.221988,New American Restaurant,7.7,0.9740233714507583,ChIJP4x5BlHpST4ReC1AXZW-CLk,OPERATIONAL,24.721415885503934
5dfe2aee1d883f0007ca7626,Dolma (دولمة),26.317878,50.223006,Middle Eastern Restaurant,7.8,0.8758657832441978,,NOT FOUND,13849.042310055282
6343ac41df00a12320908309,Spin Burger (سبن برجر),26.313474,50.212208,Burger Joint,7.4,0.9823524254455732,ChIJJUwm9jPpST4Rh9r4uBmyEAE,CLOSED_PERMANENTLY,36.486825243708225
63d2b53bd4729c1f2694112c,La Gioia,26.330877,50.213286,Italian Restaurant,7.6,0.9619994739544844,,NOT FOUND,2512.1124441891698
