Business ID,Name,Latitude,Longitude,Category,Rating,Popularity,Google Place ID,Business Status,Distance (m),Cluster,generalCategory,Religious Institutions,Coffee Shops,Food & Dining,Restaurants,Home & Construction Services,Entertainment & Recreation,Retail & Shopping,Finance & Services,Education,Health,Public & Government Services,Hotels & Hospitality,Transportation & Travel,Beauty & Wellness,POI Density,Avg Rating - Business Type,Avg Rating - Food & Dining,Competition - Business Type/Area,Competition - Food & Dining/Area,Competition - Business Type/POI Density,Competition - Food & Dining/POI Density,Competition - Business Type/related POIs,Competition - Food & Dining/related POIs,Population Within 1km,Business Name,Google Rating,Number of Reviewers,Avg_NumOfReviewers - Food & Dining,Avg_NumOfReviewers_SameCategory,Population Within 2km,Population Within 3km,Total Num of Reviewers - Food & Dining,Total Num of Reviewers - All POIs,District,Residential Average Price
5e1890a66908e00007fb2733,ch.1,26.366646,50.093792,Coffee Shop,8,0.8756845734162931,ChIJX5bBm6bjST4ROOcreVOlArA,OPERATIONAL,4.071667575054127,,0,0,7,11,6,0,0,12,1,2,0,2,1,0,4,58,4.257142857142857,4.281818181818182,2.228163992869875,3.5014005602240896,0.1206896551724138,0.1896551724137931,0.2916666666666667,0.4583333333333333,21696,CH.1 specialty coffee,4.1,482.0,1047.0,1294.0,46497,91266,13370.0,18046,Ash Shulah,27340.0
61fbe5dd0f9a7813ed117ac7,مقهى ميلان,26.366878,50.093681,Coffee Shop,7.8,0.2748232273560196,ChIJK_PTFyTjST4RsLX8rAOZRtE,OPERATIONAL,2.4488138631516785,,0,0,7,11,6,0,0,12,1,2,0,2,1,0,4,58,4.257142857142857,4.390909090909091,2.228163992869875,3.5014005602240896,0.1206896551724138,0.1896551724137931,0.2916666666666667,0.4583333333333333,21381,Milan Way Cafe and Restaurant,4.2,2328.0,934.0,1294.0,47485,91266,10281.0,14957,Ash Shulah,27340.0
63e1f3075c01711039b58df2,بارنز,26.354367,50.099683,Coffee Shop,No rating,0.9789425734784094,ChIJJUgNDFzjST4RnbYanR36z1s,OPERATIONAL,13.050326593912295,,0,1,8,13,7,0,0,20,2,2,1,0,0,1,6,58,4.7875,4.607692307692307,2.546473134708429,4.138018843901197,0.1379310344827586,0.2241379310344827,0.2424242424242424,0.3939393939393939,14474,Barn's | بارنز,4.5,179.0,184.0,79.0,33428,63422,3055.0,8830,Ash Shulah,27340.0
6325fbcf11d5336278e784af,blue k,26.367045,50.177151,Coffee Shop,No rating,0.1715755800109739,ChIJGad6ufPlST4RSy79CTEpKTg,OPERATIONAL,52.241931976017966,,0,0,2,7,5,0,0,9,3,3,2,1,4,4,1,58,4.15,4.142857142857143,0.6366182836771073,2.228163992869875,0.034482759,0.1206896551724138,0.1,0.35,9411,Blue K Lounge,3.9,9.0,234.0,125.0,47379,84211,2025.0,31312,Al Qashlah,94449.0
62f3aeb003f729502219c879,20 degrees specialty coffee,26.368221,50.179932,Coffee Shop,No rating,0.9292598842566232,ChIJLzW_3IvlST4R_0xcsWBGrTI,OPERATIONAL,20.507864228670105,,0,0,1,3,1,0,0,14,4,3,3,2,2,9,0,58,3.9,3.95,0.3183091418385536,0.9549274255156608,0.017241379,0.051724138,0.052631579,0.1578947368421052,13581,20 degree coffee,3.9,50.0,61.0,48.0,50949,84407,123.0,27512,Sports City,39702.0
644eb5ce67a13234b06212d5,ruba’a (رُباع),26.366799,50.195457,Coffee Shop,8.1,0.9914797138509002,ChIJl8zRkO3vST4R78_e-f-n4iY,OPERATIONAL,9.985588301,,0,1,2,6,4,1,0,8,5,3,1,0,1,3,6,58,3.95,3.983333333333333,0.6366182836771073,1.9098548510313216,0.034482759,0.1034482758620689,0.1333333333333333,0.4,36852,شاي رباع,4.8,239.0,1222.0,527.0,62547,89198,7612.0,17223,Al Rakah Ash Shamaliyah,21495.0
5d601e345c9a0300083ead63,seven degrees coffee,26.361687,50.195161,Coffee Shop,7.6,0.9634899362482936,ChIJM38Z_BPvST4R5R23qV8itQI,OPERATIONAL,27.148751579565364,,0,0,2,10,8,1,0,5,4,4,1,0,0,0,1,58,4.05,4.069999999999999,0.6366182836771073,3.183091418385536,0.034482759,0.1724137931034483,0.1333333333333333,0.6666666666666666,35456,Seven degrees coffee,4.1,168.0,1190.0,472.0,65835,96279,11903.0,17341,Al Rakah Ash Shamaliyah,21495.0
62a4f854215a4540f928fb58,olabs,26.36298,50.198744,Coffee Shop,7.7,0.8996129807993387,ChIJK_yr_I_vST4Rro6G7dBby3g,OPERATIONAL,12.119807521194629,,0,0,3,11,8,1,0,10,6,4,2,0,0,1,2,56,4.066666666666666,4.009090909090909,0.9549274255156608,3.5014005602240896,0.053571429,0.1964285714285714,0.1428571428571428,0.5238095238095238,36954,Olabs Café Drive Thru,3.7,116.0,955.0,321.0,62524,88621,10514.0,15156,Al Rakah Al Janubiyah,28866.0
5b8a51e4c53093002c40c82e,azores restaurant & café,26.349374,50.186642,Coffee Shop,No rating,0.7596848736864519,ChIJCeoiNlDvST4RzoS3isQ-HHg,OPERATIONAL,89.38950972916382,,0,1,3,3,0,0,1,11,0,7,1,0,1,11,1,58,4.166666666666667,4.166666666666667,0.9549274255156608,0.9549274255156608,0.051724138,0.051724138,0.1875,0.1875,12979,Azores Restaurant & Cafe,4.4,50.0,590.0,590.0,54425,113224,1771.0,13346,Qurtoba,67021.0
63a2a6728381ce412487f41d,عريكة ماضينا,26.362814,50.19765,Coffee Shop,No rating,0.9311882366202828,ChIJ2b5CeRnvST4RUg4jbTZqkjg,OPERATIONAL,4.354414828091097,,0,0,1,12,11,1,0,4,8,4,1,0,0,1,1,57,4.0,3.975,0.3183091418385536,3.819709702062643,0.01754386,0.2105263157894736,0.0625,0.75,37026,عريكة ماضينا,4.5,705.0,1051.0,776.0,64006,89538,12619.0,21840,Al Rakah Ash Shamaliyah,21495.0
