POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity
Cafe 88 Dental College UOD,26.409084,50.177689,Café,,0.8750375457021823
ESSSE Café,26.409114,50.177799,Café,,0.6599446912966473
كاسبُن Kasbon,26.390247,50.186065,Coffee Shop,,0.805859650314885
Leaves Cafe,26.390047,50.185941,Café,,0.970261355948206
Coffee 88,26.389493,50.184432,Coffee Shop,,0.0761058005707924
UD - Miss Chuao,26.386898,50.188717,Coffee Shop,,0.4116808983039481
33 Speciality Coffee,26.386784,50.188795,Coffee Shop,,0.9831803666136948
Arabia,26.386652,50.188782,Coffee Shop,,0.8614855337878754
Bonheur Caffee (مقهى بونور),26.387128,50.187062,Coffee Shop,,0.9350412316025438
Joffrey's (جوفريز),26.397602,50.175683,Coffee Shop,,0.5034645620358574
Joffrey's | College of Engineering,26.387388,50.185517,Coffee Shop,,0.9555480226937642
Solin Coffee,26.385669,50.189749,Coffee Shop,,0.4899518113160634
Papparoti Cafe [Dahran Mall],26.417607,50.213617,Café,,0.969622436934232
"7864 King Saud Rd, As Safa, Dammam 34222, Saudi Arabia",26.392225,50.178397,Café,,0.9685030399071972
11:11 Make A Wish (١١:١١ ميك أ وش),26.391426,50.178134,Café,,0.5456814674414028
Swan Coffe,26.390842,50.177933,Coffee Shop,,0.8337010222788429
اولدن,26.413507,50.17321,Coffee Shop,,0.8672073247780919
هوبرا,26.416963,50.217311,Coffee Shop,,0.7687416519794948
Kasbon,26.384635,50.183867,Coffee Shop,,0.4293156842639489
Kasbon,26.384147,50.184023,Coffee Shop,,0.1734248930594827
شاهي ابو قحط,26.386477,50.178134,Café,,0.8779894147013434
Cofféa,26.411983,50.169112,Coffee Shop,,0.3122145231954759
مقهى جمريه,26.383819,50.178183,Café,,0.1334555510673336
Best Cafe,26.42899,50.068337,Coffee Shop,8.6,0.9896529223503092
Tim Hortons,26.430882,50.068133,Coffee Shop,8.4,0.991279039658619
بن عفيف للقهوة والمكسرات,26.430661,50.078078,Coffee Shop,8.7,0.9834281038643592
Émilien Cafe,26.456673,50.062232,Café,8.9,0.976043252648914
Dunkin Donuts (دانكن دونتس),26.429857,50.067426,Coffee Shop,7.9,0.9279536815503008
Eleven Three Specilty Coffee,26.453003,50.080758,Coffee Shop,9.2,0.9832727423380874
Tim Hortons (تيم هورتنز),26.414039,50.05423,Coffee Shop,9.0,0.99770064941118
Barnie's (بارنيز),26.420721,50.073482,Coffee Shop,8.5,0.9910097463464148
Starbucks (ستاربكس),26.461041,50.062709,Coffee Shop,8.9,0.9770893535924764
8Oz COFFEE,26.453242,50.062816,Coffee Shop,8.2,0.974655356347554
Starbucks (ستاربكس),26.462292,50.068479,Coffee Shop,8.9,0.9970067012604998
Dunkin' Donuts (دانكن دونتس),26.411861,50.072033,Coffee Shop,8.9,0.989342199297766
