Business ID,District,City,Latitude,Longitude,POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity,Business Type
6421,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,abdullah fouad dammam 32236 saudi arabia (2781 طريق الأمير محمد بن فهد),26.411057,50.118435,Coffee Shop,,0.9553801696547868,Coffee Shop
6422,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Segafredo Zantti Espresso,26.40411,50.117096,Café,,0.9441112802825508,Coffee Shop
6423,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Star Bucks,26.412578,50.11575,Coffee Shop,,0.915856197371283,Coffee Shop
6424,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Overloft Café,26.41581,50.11632,Café,,0.6221296958021315,Coffee Shop
6425,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Saadeddin Cafe,26.400607,50.117657,Coffee Shop,,0.9433862598266164,Coffee Shop
6426,1st Industrial Dist.,Dammam,26.3979752,50.139516,Starbucks (ستاربكس),26.406848,50.13808,Coffee Shop,9.3,0.9851474380884316,Coffee Shop
6427,1st Industrial Dist.,Dammam,26.3979752,50.139516,Garden Gate (قاردن قيت),26.398221,50.127066,Coffee Shop,9.0,0.9819055609068972,Coffee Shop
6428,1st Industrial Dist.,Dammam,26.3979752,50.139516,dr.CAFE COFFEE | د. كيف,26.407708,50.137617,Coffee Shop,8.3,0.7110482760049301,Coffee Shop
6429,1st Industrial Dist.,Dammam,26.3979752,50.139516,Coffee Valley (وادي القهوة),26.38801,50.149305,Coffee Shop,8.4,0.9350278097132028,Coffee Shop
6430,1st Industrial Dist.,Dammam,26.3979752,50.139516,Starbucks (ستاربكس),26.400343,50.117202,Coffee Shop,8.9,0.9902018664098022,Coffee Shop
6431,1st Industrial Dist.,Dammam,26.3979752,50.139516,Starbucks (ستاربكس),26.401618,50.115742,Coffee Shop,8.9,0.9674258666583808,Coffee Shop
6432,1st Industrial Dist.,Dammam,26.3979752,50.139516,Ojair Coffee (اوجير كوفي),26.411095,50.114829,Coffee Shop,9.4,0.996996343825415,Coffee Shop
6433,1st Industrial Dist.,Dammam,26.3979752,50.139516,Mafaz (مَفَاز),26.406929,50.112725,Coffee Shop,9.4,0.9971620627867714,Coffee Shop
6434,1st Industrial Dist.,Dammam,26.3979752,50.139516,Tim Hortons (تيم هورتنز),26.400097,50.116794,Coffee Shop,8.5,0.9979595852882992,Coffee Shop
6435,1st Industrial Dist.,Dammam,26.3979752,50.139516,Alkarak (الكرك),26.414136,50.119659,Tea Room,8.8,0.96653512724109,Coffee Shop
6436,1st Industrial Dist.,Dammam,26.3979752,50.139516,Onda Coffee (اوندا كافيه),26.376212,50.122733,Coffee Shop,8.9,0.998291023211012,Coffee Shop
6437,1st Industrial Dist.,Dammam,26.3979752,50.139516,Road Cafe,26.389654,50.112863,Coffee Shop,8.8,0.9705227397487286,Coffee Shop
