Business ID,POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity
111,بروستد الطازج,26.434498,50.08553,Fried Chicken Joint,9.2,0.9946555634962558
114,Alrazi Broasted (بروستد الرازي),26.420721,50.073482,Fried Chicken Joint,8.7,0.9850749360428384
115,سد مأرب | مأكولات يمنية,26.44147,50.073862,Halal Restaurant,8.1,0.9885861065365772
116,Shawati Alkhleej (شواطئ الخليج),26.433173,50.08292,Middle Eastern Restaurant,8.6,0.9578245243347936
117,Ensalada (انشلادا),26.452611,50.080629,Salad Restaurant,8.9,0.987073921
119,نجم سهيل | مأكولات شعبية,26.441254,50.07309,Restaurant,8,0.9802587287284176
121,Raising Cane’s,26.462107,50.068528,Fried Chicken Joint,9.1,0.9852613698743644
122,Al Kapsa Al Hasaweyah (الكبسة الحساوية لفانا),26.416619,50.051179,Restaurant,8.5,0.974935007
123,حاشي باشا,26.433256,50.044766,Halal Restaurant,8,0.9728013754673792
125,Al Ennabi Gril (المَشوَى العنَّابي),26.45923,50.050927,Kebab Restaurant,8.6,0.9977275442781488
128,مندي الاحساء,26.462912,50.055936,Caribbean Restaurant,8.6,0.9723663631938186
129,البراحة للكباب العراقي,26.422956,50.078515,Iraqi Restaurant,8.1,0.994230909
130,تكة عراد,26.433862,50.080075,BBQ Joint,7.9,0.96805767
132,KFC (دجاج كنتاكي),26.430635,50.067014,Fried Chicken Joint,7.4,0.9821437819138468
135,Jimmy's Killer Prawns,26.454334,50.080648,Seafood Restaurant,7.8,0.973878549
136,McDonald's (ماكدونالدز),26.415124,50.076856,Burger Joint,7.8,0.9959295280116832
137,Tikka O Reyash (تكّة و ريش),26.449672,50.078267,Kebab Restaurant,7.6,0.9881303793928472
138,Mcdonald's (ماكدونالدز),26.434424,50.085379,Burger Joint,7.6,0.9965716889869392
142,Popeyes Louisiana Kitchen (بوبايز),26.426829,50.035626,Fried Chicken Joint,7.5,0.9857792416286032
144,Burgerizzr,26.463425,50.062849,Burger Joint,7.5,0.9661829744482076
147,معجنات و مشويات فاكهة لبنان,26.438894,50.082831,Lebanese Restaurant,7.3,0.962008928
149,معجنات شهد الشام,26.412255,50.054938,Middle Eastern Restaurant,7.3,0.97124776
153,الرواق الشعبي أكل الطيبين,26.414148,50.068765,Mediterranean Restaurant,7.2,0.9626718039544688
154,شاورمرShawarmer,26.434004,50.08424,Shawarma Restaurant,7,0.9481713948357828
155,شلال مرمريز,26.422802,50.037995,Middle Eastern Restaurant,7,0.9901293643642088
157,Al Sayyad Al Bahry Seafood (دروازة الصياد البحري),26.456557,50.092375,Seafood Restaurant,8.8,0.9785704668095992
158,Hashim Restaurants (مطاعم هاشم),26.43741,50.092279,Falafel Restaurant,7.9,0.9734849661829744
159,Chef's Place (مكان الطاهي),26.424842,50.097261,Syrian Restaurant,8.1,0.9514961314979958
160,Atlas (اطلس),26.42317,50.093078,Middle Eastern Restaurant,7.8,0.990719738
162,Hardee's (هارديز),26.422831,50.092339,Burger Joint,7.7,0.9794197764865508
164,Bait Al Robyan,26.459183,50.086768,Seafood Restaurant,7.7,0.9701913018260158
165,Paragon Restaurant,26.443518,50.094869,Indian Restaurant,7.3,0.9706159566644916
166,كودو,26.430658,50.067063,Fast Food Restaurant,6.4,0.9807662430475717
167,مطابخ و مطاعم الفاخرة,26.431515,50.043153,Middle Eastern Restaurant,6.7,0.979595853
168,KFC (KFC | كنتاكي),26.422677,50.092024,Fried Chicken Joint,6.5,0.968109457
169,مطاعم فريج السلطان,26.459133,50.081275,Middle Eastern Restaurant,6.6,0.9810458937948606
170,هرفي,26.414213,50.071353,Fast Food Restaurant,7.5,0.9733025832570849
173,Alasr Albukhari (العصر البخاري),26.441062,50.081962,Middle Eastern Restaurant,,0.9846502812043626
174,Saf Saf Restaurant,26.44206,50.063818,Middle Eastern Restaurant,,0.9712684750748324
175,صب واي,26.440625,50.059519,Deli,,0.9864939046494526
176,McDonald's (ماكدونالدز),26.423129,50.029497,Fast Food Restaurant,8.4,0.997141348
177,Ozi Burger (أوزي برجر),26.4208,50.025552,Burger Joint,8.8,0.9880578773472536
178,Just Fresh Burger (جست فريش برجر),26.421017,50.026561,Burger Joint,8.7,0.9938787558648976
179,البحرين الرفاع,26.44339,50.02834,Arepa Restaurant,8.3,0.9979015635650744
