Business ID,Name,Latitude,Longitude,Category,Rating,Popularity,Google Place ID,Business Status,Distance (m),Cluster,generalCategory,Religious Institutions,Coffee Shops,Food & Dining,Restaurants,Home & Construction Services,Entertainment & Recreation,Retail & Shopping,Finance & Services,Education,Health,Public & Government Services,Hotels & Hospitality,Transportation & Travel,Beauty & Wellness,POI Density,Avg Rating - Business Type,Avg Rating - Food & Dining,Competition - Business Type/Area,Competition - Food & Dining/Area,Competition - Business Type/POI Density,Competition - Food & Dining/POI Density,Competition - Business Type/related POIs,Competition - Food & Dining/related POIs,Population Within 1km
500f2783e4b029401929b719,مطبخ و مندي الروضة,26.416654,50.114736,Middle Eastern Restaurant,7.6,0.9697183025685092,ChIJLcW2TkL7ST4RTOmaHWaxST0,OPERATIONAL,4.743958564820567,,restaurant,1,1,8,6,1,0,12,2,4,6,2,0,3,0,58,4.066666666666666,4.0125,1.9098548510313216,2.546473134708429,0.1034482758620689,0.1379310344827586,0.3,0.4,34945
5471d066498e0e46bdee3d97,Ra3eha (راعيها),26.420253,50.115799,Seafood Restaurant,7.8,0.974760075781889,ChIJrWe7kmn7ST4RFAm48WPRSXM,OPERATIONAL,6.700333556465973,,restaurant,1,1,10,8,1,1,10,1,5,6,1,0,3,1,58,3.9125,3.9,2.546473134708429,3.183091418385536,0.1379310344827586,0.1724137931034483,0.3809523809523809,0.4761904761904761,32976
61a5d7970be65234085d679c,مطعم عزيز,26.414229,50.118613,Buffet,No rating,0.8815649167123911,ChIJbQT8kUL7ST4RNEBlEtNKyeI,OPERATIONAL,25.25455322607528,,restaurant,0,0,10,9,2,0,13,1,3,6,4,1,4,1,59,4.025,4.022222222222222,2.8647822765469826,3.183091418385536,0.1525423728813559,0.1694915254237288,0.375,0.4166666666666667,31243
5e820ed35f5f36000848e862,Sama Deeraty,26.414366,50.118002,Restaurant,No rating,0.9600695702587144,ChIJ8bf4L1X7ST4RTfqw5EOMMzs,OPERATIONAL,8.017152310282162,,restaurant,0,0,10,9,1,0,12,1,3,6,4,0,4,0,59,4.0,4.0,2.8647822765469826,3.183091418385536,0.1525423728813559,0.1694915254237288,0.4090909090909091,0.4545454545454545,32627
5684f57d498e3181b5dd4064,The Square Restaurant,26.408616,50.139092,Restaurant,No rating,0.8196660213473026,ChIJv5fzMCv7ST4RVsYwdcVv99k,OPERATIONAL,128.15566870343696,,restaurant,0,0,1,1,0,0,11,4,0,1,1,2,3,1,59,4.2,4.2,0.3183091418385536,0.3183091418385536,0.0169491525423728,0.0169491525423728,0.0714285714285714,0.0714285714285714,2534
5fc8a9c57bb95f58cd7b4cc5,Driver’s Hotel - Modan Alam Restaurant,26.415157,50.15032,Pakistani Restaurant,No rating,0.9546447465137226,ChIJiU-901T7ST4Rho_aOQvdFjQ,OPERATIONAL,29.960178281574898,,restaurant,1,0,1,1,0,0,9,1,0,1,1,0,2,0,59,4.1,4.1,0.3183091418385536,0.3183091418385536,0.0169491525423728,0.0169491525423728,0.1,0.1,3296
528b388611d2ade44f882fe9,Madina Restaurant,26.416376,50.160226,Indian Restaurant,No rating,0.3908047166978973,ChIJi5f9QJj7ST4Ro0L39HtNUus,OPERATIONAL,180.7014728106138,,restaurant,0,0,7,7,0,0,7,1,0,0,0,0,4,0,58,3.3833333333333333,3.3833333333333333,2.228163992869875,2.228163992869875,0.1206896551724138,0.1206896551724138,0.5,0.5,7389
62cdbc5a17cf3d537be83e54,Anjik,26.407504,50.188828,Turkish Restaurant,8.2,0.998457821850144,ChIJOSF84fXvST4RMqiRdn7E-y8,OPERATIONAL,16.079167187266293,,restaurant,0,3,4,2,0,0,9,1,0,2,2,1,2,5,59,4.4,4.366666666666667,0.6366182836771073,1.2732365673542143,0.0338983050847457,0.0677966101694915,0.1428571428571428,0.2857142857142857,8870
5ad59bd49f8a9f1e685930fb,Fifood,26.434059,50.011909,Deli,No rating,0.77118386698282,ChIJGZPckQUCNj4RXBvSgwE11D4,OPERATIONAL,49.0341094770463,,restaurant,0,1,4,3,0,1,11,0,1,0,1,0,5,2,58,4.166666666666667,4.225,0.9549274255156608,1.2732365673542143,0.0517241379310344,0.0689655172413793,0.1875,0.25,26968
6026bfecaa745f79d2378e8e,مشويات زمان التكة,26.426081,50.024194,Kebab Restaurant,No rating,0.99833286637301,ChIJLQMZe1n9ST4RHdrS27oSavM,OPERATIONAL,12.6178761414826,,restaurant,0,2,16,14,1,1,12,4,1,2,0,4,3,4,57,3.807142857142857,3.85625,4.45632798573975,5.092946269416858,0.2456140350877192,0.2807017543859649,0.4242424242424242,0.4848484848484848,51470
5af0a369c9a517002cb34cf9,اكليك الوادي,26.424829,50.023893,Lebanese Restaurant,No rating,0.954191484990592,ChIJnaUHgIz9ST4RDoXDaaetwGo,OPERATIONAL,63.06354386612735,,restaurant,0,2,16,13,0,1,13,5,1,2,0,4,2,3,58,3.969230769230769,3.7666666666666666,4.138018843901197,5.092946269416858,0.2241379310344827,0.2758620689655172,0.3823529411764705,0.4705882352941176,50767
513e5489e4b0fa51925db9bb,مطعم الورده الشاميه,26.431776,50.042551,BBQ Joint,7.8,0.9878666155932624,ChIJdSXHAr_9ST4R9xjrnVQ-95U,OPERATIONAL,11.827403969925104,,restaurant,0,0,11,11,0,0,17,3,0,1,0,1,3,6,56,4.018181818181818,4.018181818181818,3.5014005602240896,3.5014005602240896,0.1964285714285714,0.1964285714285714,0.3793103448275862,0.3793103448275862,35654
5e582925f4df8c0007ab45d3,برجر كنج,26.426367,50.035393,Burger Joint,6.7,0.9596554615758904,ChIJ8-fSQVX9ST4R_cxZp6vz22g,OPERATIONAL,8.669970571212831,,restaurant,0,3,11,8,0,0,19,6,1,1,2,3,1,4,57,3.8125,3.845454545454545,2.546473134708429,3.5014005602240896,0.1403508771929824,0.1929824561403508,0.2424242424242424,0.3333333333333333,45697
62cc746df7a25b09b13c26ce,شورما فطرس,26.422874,50.027644,Shawarma Restaurant,No rating,0.2014431687596409,ChIJs4RMeEz9ST4RSmaiDMYZOvc,OPERATIONAL,15.1298213154568,,restaurant,0,7,22,16,0,0,22,4,0,1,0,6,2,1,56,3.9875,4.077272727272727,5.092946269416858,7.002801120448179,0.2857142857142857,0.3928571428571428,0.32,0.44,47487
60ff2a42c5ce8e754a0ec6e8,Little Caesars,26.426871,50.035388,Pizzeria,No rating,0.038129056971002,ChIJ9U8fCoj9ST4RxwHHhcGXgbc,OPERATIONAL,18.10953030422893,,restaurant,0,2,11,9,0,0,21,4,1,1,2,3,2,5,57,3.755555555555555,3.7818181818181817,2.8647822765469826,3.5014005602240896,0.1578947368421052,0.1929824561403508,0.2571428571428571,0.3142857142857143,43605
56a51d19498e73cc27624088,Mishwar Resturant (مطعم مشوار),26.417083,50.029735,Middle Eastern Restaurant,6.9,0.9649929234353276,ChIJf-Lb0Cb9ST4RrmsjiluND3g,OPERATIONAL,59.85613536139613,,restaurant,0,1,15,14,0,0,22,5,1,2,0,3,3,1,57,3.978571428571428,3.9733333333333336,4.45632798573975,4.774637127578304,0.2456140350877192,0.2631578947368421,0.35,0.375,44834
5d93b09d939de00008714449,بروست الطازج,26.421202,50.026512,Fast Food Restaurant,No rating,0.971509322621722,ChIJxev5WeP9ST4R8BQ19y-HcGw,OPERATIONAL,6.103783509772141,,restaurant,0,2,16,14,0,0,19,5,0,2,0,5,2,3,57,3.914285714285714,3.9375,4.45632798573975,5.092946269416858,0.2456140350877192,0.2807017543859649,0.35,0.4,51156
6349a700c9f4bf258e3bc859,Kufa,26.425915,50.03625,Fried Chicken Joint,No rating,0.9564564720010766,ChIJLW3A0UD9ST4R0Rzzb_okJ0Q,OPERATIONAL,0.2713638199428304,,restaurant,0,3,13,9,0,0,17,4,0,1,0,7,1,7,58,3.9375,3.925,2.8647822765469826,4.138018843901197,0.1551724137931034,0.2241379310344827,0.2432432432432432,0.3513513513513513,42501
61e1793f8a16e26ff025fc25,ربع شواية ارجل مطعم,26.420967,50.024314,Afghan Restaurant,No rating,0.9655494007749784,ChIJpx8jASn9ST4RH06kbVhVUU0,OPERATIONAL,49.18197321138916,,restaurant,0,1,17,15,0,1,16,4,0,2,0,5,7,3,56,3.9133333333333336,3.9764705882352938,4.774637127578304,5.411255411255412,0.2678571428571428,0.3035714285714285,0.3846153846153846,0.4358974358974359,50363
6373a3a58291146bfc108795,Abu Helal (أبو هلال),26.420871,50.023727,Yemeni Restaurant,No rating,0.9997288346510677,ChIJFRQKwOL9ST4RY2c34mjdE5o,OPERATIONAL,17.35230803140925,,restaurant,0,1,18,16,0,1,15,4,0,2,0,5,7,2,55,4.00625,4.055555555555555,5.092946269416858,5.729564553093965,0.2909090909090909,0.3272727272727272,0.4102564102564102,0.4615384615384615,47430
5b12d82b51950e002cfc6efd,Dolma,26.436182,50.047664,Restaurant,8.6,0.940182000766101,ChIJD_M7-L_9ST4RdF07DbQDlk8,OPERATIONAL,67.42896381912453,,restaurant,1,0,4,4,0,0,8,3,0,0,0,0,10,2,58,4.075,4.075,1.2732365673542143,1.2732365673542143,0.0689655172413793,0.0689655172413793,0.3333333333333333,0.3333333333333333,26618
5addd536dee7701e6ba96ba1,حاشي باشا,26.433256,50.044766,Halal Restaurant,8.1,0.973020819314029,ChIJ1VXitbj9ST4RtYuEwiYnNqg,OPERATIONAL,36.79202953416136,,restaurant,1,1,12,9,0,0,14,3,0,1,1,1,2,5,57,3.9125,3.936363636363636,2.8647822765469826,3.819709702062643,0.1578947368421052,0.2105263157894736,0.3333333333333333,0.4444444444444444,30267
510ea09fe4b04c8cae7c25a7,مطعم الديك الرومي,26.424287,50.04471,Middle Eastern Restaurant,7.1,0.9803816011512222,ChIJIcM9qaT9ST4RnSbPKxecspA,OPERATIONAL,22.051094285423112,,restaurant,0,0,6,6,0,1,15,4,0,3,1,2,4,2,58,4.116666666666666,4.116666666666666,1.9098548510313216,1.9098548510313216,0.1034482758620689,0.1034482758620689,0.25,0.25,34596
507960d9e4b04688640ff991,مطابخ و مطاعم الفاخرة,26.431515,50.043153,Middle Eastern Restaurant,6.7,0.980102077790316,ChIJSYf0K7_9ST4RBfzkl77xeEc,OPERATIONAL,2.1286672632459687,,restaurant,0,0,15,15,0,0,16,3,0,1,0,1,2,4,56,3.8333333333333335,3.8333333333333335,4.774637127578304,4.774637127578304,0.2678571428571428,0.2678571428571428,0.46875,0.46875,35834
62a5ded7ac88696026dff51b,مطعم شواية الحجاز البخاري,26.431869,50.042742,Yemeni Restaurant,No rating,0.6544366569006036,ChIJmWsbtTf9ST4RDYXqgLOQ7ZE,OPERATIONAL,26.526352022755724,,restaurant,0,0,13,13,0,0,16,3,0,1,0,1,3,6,56,3.992307692307692,3.992307692307692,4.138018843901197,4.138018843901197,0.2321428571428571,0.2321428571428571,0.4333333333333333,0.4333333333333333,35654
5fc0d742784ee013dda5f086,مطعم برياني الذواقة,26.422581,50.046049,Asian Restaurant,No rating,0.9525534976654624,ChIJg9nXW6T9ST4RjpGGVueBE7k,OPERATIONAL,100.3892125997136,,restaurant,1,0,7,5,0,0,18,5,3,2,0,0,1,9,58,4.1,4.114285714285715,1.591545709192768,2.228163992869875,0.0862068965517241,0.1206896551724138,0.2,0.28,25863
5f3433aba58a76498b6cdf08,ورق عنب ساور,26.435689,50.046847,Bangladeshi Restaurant,No rating,0.909879597900469,ChIJkRMsvlD9ST4Rh8pfwrThyI8,OPERATIONAL,20.354251856523213,,restaurant,1,0,3,3,0,0,11,2,0,0,0,1,10,3,58,4.033333333333333,4.033333333333333,0.9549274255156608,0.9549274255156608,0.0517241379310344,0.0517241379310344,0.2,0.2,26618
54899cfe498e27d84762f2c3,يغمش زمان,26.420768,50.047831,Bakery,No rating,0.925274088184444,ChIJ7SrWdqb9ST4RHPtxw574SNI,OPERATIONAL,9.10789465584742,,restaurant,1,0,14,12,0,0,15,5,4,2,0,1,0,4,58,3.927272727272728,3.976923076923077,3.819709702062643,4.45632798573975,0.2068965517241379,0.2413793103448276,0.4,0.4666666666666667,28715
62e9433508a0335d3a0e3339,مطبخ المدينة,26.420323,50.045104,Yemeni Restaurant,No rating,0.4502189599660431,ChIJv9vZaT39ST4Rs7b9YTuH01M,OPERATIONAL,30.76081404822285,,restaurant,2,0,10,9,0,0,14,6,6,2,2,0,0,8,59,4.125,4.222222222222222,2.8647822765469826,3.183091418385536,0.1525423728813559,0.1694915254237288,0.375,0.4166666666666667,25975
60606b53ccd57c2ebca23812,المشوى العنّابي,26.426716,50.035629,Middle Eastern Restaurant,No rating,0.8770718375037528,ChIJc6fP5179ST4R-lHBd2XcqY4,OPERATIONAL,30.98444847760676,,restaurant,0,2,12,10,0,0,20,4,1,1,2,4,2,5,58,3.81,3.825,3.183091418385536,3.819709702062643,0.1724137931034483,0.2068965517241379,0.2777777777777778,0.3333333333333333,44292
5defe6bb048ca1000859e1b1,طرشوووله,26.43685,50.053469,Fast Food Restaurant,No rating,0.9062872050769724,ChIJecDxPAD9ST4RXvSGCEAh0HU,OPERATIONAL,10.520934888851391,,restaurant,1,2,9,7,0,1,16,3,0,0,0,0,12,1,58,3.3833333333333333,3.625,2.228163992869875,2.8647822765469826,0.1206896551724138,0.1551724137931034,0.2692307692307692,0.3461538461538461,22491
535e3250498e4ba009ab1e5f,Baskin Robbins (باسكن روبنز),26.429758,50.067542,Ice Cream Parlor,7.7,0.9276552131106808,ChIJ8doSvxv9ST4RtVYkutDW0ik,OPERATIONAL,136.71640158240285,,restaurant,0,1,4,3,2,0,29,6,1,2,1,4,1,0,58,3.8,3.75,0.9549274255156608,1.2732365673542143,0.0517241379310344,0.0689655172413793,0.081081081081081,0.1081081081081081,43764
53e49ad2498e56936584a0e8,مطاعم ومطبخ الشروق,26.42584,50.071123,Middle Eastern Restaurant,8.1,0.93338026565072,ChIJx_dgrlP7ST4RDtv5Y4bSZes,OPERATIONAL,59.00271005790614,,restaurant,1,1,6,5,1,0,15,7,1,3,2,3,1,0,59,3.96,3.9,1.591545709192768,1.9098548510313216,0.0847457627118644,0.1016949152542373,0.2083333333333333,0.25,47707
5a80810ac365880e5f77e98c,Ruchi Restaurant,26.441967,50.063013,Indian Restaurant,8.7,0.9900199807439464,ChIJJ_MDojX8ST4RSXgzjFRt4BM,OPERATIONAL,25.486532261700223,,restaurant,1,0,1,1,0,1,23,4,1,0,0,0,9,0,58,3.7,3.7,0.3183091418385536,0.3183091418385536,0.0172413793103448,0.0172413793103448,0.04,0.04,26769
4ca88810a6e08cfa66d48f94,McDonald's (ماكدونالدز),26.441231,50.065103,Burger Joint,8.5,0.9820069777313056,ChIJaxg2_0n8ST4Ram0VlkiEFwg,OPERATIONAL,188.94918152512503,,restaurant,1,0,1,1,0,1,21,5,1,0,0,0,9,0,58,3.7,3.7,0.3183091418385536,0.3183091418385536,0.0172413793103448,0.0172413793103448,0.0434782608695652,0.0434782608695652,35655
571e7fab498e5774b07df51e,Broast Al Basel (بروست الباسل),26.433403,50.066283,Fast Food Restaurant,7.6,0.9627302185458574,ChIJx8OAQE78ST4RlirEG5Lvr_k,OPERATIONAL,6.050619627231955,,restaurant,0,1,5,4,0,1,22,3,1,2,0,3,7,0,57,3.875,3.82,1.2732365673542143,1.591545709192768,0.0701754385964912,0.087719298245614,0.1290322580645161,0.1612903225806451,44366
4fc9dbd3e4b0de8041c26a8e,KFC (دجاج كنتاكي),26.430635,50.067014,Fried Chicken Joint,7.4,0.9820380358825174,ChIJZ0TCs1H8ST4RVwrKwrf5ksY,OPERATIONAL,33.16252492504283,,restaurant,0,2,8,7,1,1,23,7,1,2,0,3,3,0,58,3.8,3.775,2.228163992869875,2.546473134708429,0.1206896551724138,0.1379310344827586,0.2,0.2285714285714285,41882
53510070498e62c91bf875ee,Kufah Restaurant (مطعم كوفه),26.438,50.065127,Fried Chicken Joint,7.9,0.915915231952626,ChIJjewjXkn8ST4RIrnxCKdO0HA,OPERATIONAL,111.43723372845518,,restaurant,1,0,4,4,0,1,21,6,1,2,0,0,7,0,58,3.775,3.775,1.2732365673542143,1.2732365673542143,0.0689655172413793,0.0689655172413793,0.1538461538461538,0.1538461538461538,39761
513a2881e4b0ab02227d0fc4,Abu Al Tayib Restaurant (مطعم أبو الطيب),26.440775,50.071026,Turkish Restaurant,7.8,0.986572525959438,ChIJhVKpNkb8ST4RCZAnF_Gh_EA,OPERATIONAL,1.1199578770632663,,restaurant,0,0,1,1,0,1,23,3,1,1,0,2,9,0,58,3.7,3.7,0.3183091418385536,0.3183091418385536,0.0172413793103448,0.0172413793103448,0.037037037037037,0.037037037037037,51863
4fc1f526e4b0d3da5934d73d,كودو,26.430658,50.067063,Fast Food Restaurant,6.4,0.9805058337560691,ChIJEd2Kb539ST4RAL1m4EEkMHk,OPERATIONAL,6.686878485932207,,restaurant,0,2,8,7,1,1,23,7,1,2,0,3,3,0,58,3.8,3.775,2.228163992869875,2.546473134708429,0.1206896551724138,0.1379310344827586,0.2,0.2285714285714285,43098
4fe58999e4b0e91f094c15de,Hardee's (هارديز),26.430635,50.067014,Fast Food Restaurant,6.3,0.9615189506485976,ChIJpRkNsVH8ST4RUvTPegWcj54,OPERATIONAL,26.461519477604927,,restaurant,0,2,8,7,1,1,23,7,1,2,0,3,3,0,58,3.8,3.775,2.228163992869875,2.546473134708429,0.1206896551724138,0.1379310344827586,0.2,0.2285714285714285,41882
