POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity,Matched Population,Population Within 1km
Boulevard Coffee (بوليڤارد كوفي),26.387051,50.187141,Café,6.5,0.9761467605067836,374.0,10933
Al Shathlya (ديوانية الشاذلية),26.406525,50.200045,Café,,0.3377180187708227,,1250
HOKM Cafe مقهى حُكم,26.406018,50.186901,Café,,0.1473257513552471,287.0,9084
Hokm,26.406324,50.186832,Coffee Shop,,0.9989570549258872,287.0,9084
Söt Kanel (سُوت كانيل),26.406255,50.186542,Café,,0.7688271601403708,287.0,9084
Oslo,26.405622,50.185532,Coffee Shop,,0.6018204585655065,287.0,9780
Nai (ناي),26.393831,50.193572,Café,,0.9994710963965816,,992
كوستا كوفي,26.390247,50.186065,Coffee Shop,5.8,0.9374838383849952,,7295
Cafe 88,26.393292,50.191055,Café,,0.9619565030674144,,2949
Café Jamoka by pattis france,26.386837,50.188733,Coffee Shop,5.8,0.1177790425859907,,12307
Solin Caffe,26.390647,50.187733,Coffee Shop,,0.1116396075328109,,6867
Segafredo Zanetti,26.391429,50.184987,Café,,0.5347832310861865,95.0,7513
Cafe 88 Dental College UOD,26.409084,50.177689,Café,,0.8750375457021823,397.0,13345
ESSSE Café,26.409114,50.177799,Café,,0.6599446912966473,397.0,13345
كاسبُن Kasbon,26.390247,50.186065,Coffee Shop,,0.805859650314885,,7295
Leaves Cafe,26.390047,50.185941,Café,,0.970261355948206,,9317
Coffee 88,26.389493,50.184432,Coffee Shop,,0.0761058005707924,,11329
UD - Miss Chuao,26.386898,50.188717,Coffee Shop,,0.4116808983039481,,12307
33 Speciality Coffee,26.386784,50.188795,Coffee Shop,,0.9831803666136948,,13415
Arabia,26.386652,50.188782,Coffee Shop,,0.8614855337878754,,13415
Bonheur Caffee (مقهى بونور),26.387128,50.187062,Coffee Shop,,0.9350412316025438,374.0,10933
Joffrey's (جوفريز),26.397602,50.175683,Coffee Shop,,0.5034645620358574,217.0,6227
Joffrey's | College of Engineering,26.387388,50.185517,Coffee Shop,,0.9555480226937642,374.0,11554
Solin Coffee,26.385669,50.189749,Coffee Shop,,0.4899518113160634,,12618
Papparoti Cafe [Dahran Mall],26.417607,50.213617,Café,,0.969622436934232,,0
"7864 King Saud Rd, As Safa, Dammam 34222, Saudi Arabia",26.392225,50.178397,Café,,0.9685030399071972,669.0,8101
11:11 Make A Wish (١١:١١ ميك أ وش),26.391426,50.178134,Café,,0.5456814674414028,669.0,7243
Swan Coffe,26.390842,50.177933,Coffee Shop,,0.8337010222788429,669.0,8663
اولدن,26.413507,50.17321,Coffee Shop,,0.8672073247780919,1652.0,13097
هوبرا,26.416963,50.217311,Coffee Shop,,0.7687416519794948,,0
Kasbon,26.384635,50.183867,Coffee Shop,,0.4293156842639489,374.0,15662
Kasbon,26.384147,50.184023,Coffee Shop,,0.1734248930594827,1420.0,15662
شاهي ابو قحط,26.386477,50.178134,Café,,0.8779894147013434,112.0,12509
Cofféa,26.411983,50.169112,Coffee Shop,,0.3122145231954759,240.0,12569
مقهى جمريه,26.383819,50.178183,Café,,0.1334555510673336,428.0,13726
Best Cafe,26.42899,50.068337,Coffee Shop,8.6,0.9896529223503092,574.0,43974
Tim Hortons,26.430882,50.068133,Coffee Shop,8.4,0.991279039658619,498.0,49396
